pitchid,date,time,pa_number,pa_pitch_number,pitcher,pitcherid,throws,field_team,batter,batterid,batside,bat_team,pitcher_set,inning,inning_half,outs,balls,strikes,pitch_type_tagged,pitch_type_auto,pitch_call,k_or_bb,hit_type,play_result,outs_on_play,runs_scored,notes,rel_speed,vert_rel_angle,horz_rel_angle,spin_rate,spin_axis,tilt,rel_height,rel_side,extension,vert_break,induced_vert_break,horz_break,plate_loc_z,plate_loc_x,zone_speed,vert_appr_angle,horz_appr_angle,zone_time,exit_speed,angle,direction,hit_spin_rate,pos_at_100_x,pos_at_100_y,pos_at_100_z,distance,last_tracked_distance,bearing,hang_time,pfx_x,pfx_z,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,home_team,away_team,stadium,levelid,leagueid,trackman_gameid,pitch_uid,effective_velo,max_height,measured_duration,speed_drop,pitch_last_measured_x,pitch_last_measured_y,pitch_last_measured_z,contact_position_x,contact_position_y,contact_position_z
283,2019-09-24,04:44:12,1,3,"Webb, Tyler",643778,Left,"St. Louis Cardinals","Rojas, Josh",668942,Left,"Arizona Diamondbacks",,10,Bottom,0,1,1,Undefined,Sinker,InPlay,Undefined,Undefined,Out,0,0,statcast,90.6347,-2.71825,1.75151,2158.32,141.386,NULL,6.87191,-1.992,5.8532,-19.6508,14.3198,-11.4598,2.70589,-1.31925,83.0623,-6.38975,-0.402742,0.419491,50.6495,-34.5172,5.01846,NULL,NULL,NULL,NULL,4.21865,NULL,24.4418,0.0712606,6.65388,8.46115,1.85661,50,6.63969,-3.64718,-131.743,-6.91186,11.7034,27.7821,-17.2919,109,138,ChaseField,MLB,NL,20190924-ChaseField-1,0016a448-4a52-44eb-99f5-870d0f174607,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
429,2019-09-24,06:32:46,3,6,"Ponce de Leon, Daniel",594965,Right,"St. Louis Cardinals","Rojas, Josh",668942,Left,"Arizona Diamondbacks",,14,Bottom,2,3,2,Undefined,Fastball,BallCalled,Walk,Undefined,Undefined,0,0,statcast,96.0797,-1.60655,-2.34541,2522.54,226.024,NULL,6.60187,1.5334,5.57998,-14.8013,15.7892,16.3904,3.86657,0.707875,87.5803,-4.37194,0.72339,0.398075,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-9.40621,8.87728,-1.3425,50,6.45417,5.11376,-139.626,-4.46573,-18.5432,31.844,-14.6736,109,138,ChaseField,MLB,NL,20190924-ChaseField-1,002ff3e2-ec4d-4a88-af67-8b2295332b66,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
176,2019-09-24,03:29:28,3,1,"Flaherty, Jack",656427,Right,"St. Louis Cardinals","Leyba, Domingo",642736,Left,"Arizona Diamondbacks",,6,Bottom,2,0,0,Undefined,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,statcast,94.8574,-0.80874,-2.80957,2291.09,194.034,NULL,5.58855,2.38829,6.6277,-16.4205,13.7347,3.43931,3.47881,0.100606,86.5146,-3.93706,-2.15391,0.395232,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-2.70875,7.84319,-2.19969,50,5.52697,6.67292,-138.063,-2.44108,-5.21472,31.4851,-17.0748,109,138,ChaseField,MLB,NL,20190924-ChaseField-1,0033fabd-c530-49ca-84ff-dc300e83c695,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
406,2019-09-24,06:20:20,3,1,"Chafin, Andrew",605177,Left,"Arizona Diamondbacks","O'Neill, Tyler",641933,Right,"St. Louis Cardinals",,14,Top,1,0,0,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,statcast,85.1195,-3.03978,2.79182,2455.93,346.721,NULL,6.20829,-1.97932,6.21272,-44.3381,-5.52948,1.29737,-0.297522,0.707034,77.5243,-11.3617,3.0394,0.448369,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.238244,-1.99682,1.76961,50,5.95838,-6.05969,-123.5,-7.83697,0.360181,29.4423,-35.1929,109,138,ChaseField,MLB,NL,20190924-ChaseField-1,009c135c-fd87-4f8a-b3ef-e561d0aa743c,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
231,2019-09-24,04:09:40,2,3,"Gallegos, Giovanny",606149,Right,"St. Louis Cardinals","Dyson, Jarrod",502481,Left,"Arizona Diamondbacks",,8,Bottom,1,1,1,Undefined,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,statcast,85.6289,-2.12321,-3.31186,2365.85,161.019,NULL,6.50245,2.44892,5.3682,-36.962,1.75453,-0.614581,1.42752,-0.71065,79.2296,-8.91669,-3.42583,0.447837,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-0.554686,1.49219,-2.15152,50,6.2859,7.21455,-124.311,-5.87943,-0.871797,23.8912,-29.8288,109,138,ChaseField,MLB,NL,20190924-ChaseField-1,00f3623e-c316-4b60-ad0a-662f0336d36f,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
503,2019-09-24,07:29:53,3,5,"Duplantier, Jon",641541,Right,"Arizona Diamondbacks","Fowler, Dexter",451594,Left,"St. Louis Cardinals",,17,Top,1,3,1,Undefined,Sinker,InPlay,Undefined,Undefined,Out,0,0,statcast,91.2071,-1.60369,-2.898,2176.2,229.047,NULL,5.68352,1.37778,7.10199,-20.2556,11.5601,13.351,2.53837,-0.141082,83.934,-5.47753,-0.337647,0.405968,102.204,36.4261,5.65322,3144.06,NULL,NULL,NULL,384.18,NULL,-2.4212,5.81617,-8.28022,6.931,-1.21016,50,5.5816,6.38109,-132.855,-4.24686,-14.8741,27.1155,-19.7236,109,138,ChaseField,MLB,NL,20190924-ChaseField-1,016232ff-2d21-4961-8352-aa88dd2fc340,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
497,2019-09-24,07:26:17,2,7,"Duplantier, Jon",641541,Right,"Arizona Diamondbacks","Wieters, Matt",446308,Left,"St. Louis Cardinals",,17,Top,0,2,2,Undefined,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,statcast,92.3464,-2.70367,-2.13153,2275.81,231.618,NULL,5.71061,1.1788,7.01713,-18.6152,12.6857,16.0487,1.69892,0.578319,84.6577,-6.25891,0.951437,0.402671,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-9.61347,7.88443,-1.05467,50,5.53964,4.57763,-134.441,-6.84741,-17.5861,29.2784,-17.7509,109,138,ChaseField,MLB,NL,20190924-ChaseField-1,01d5b245-5ff1-471e-8a68-a890356e9766,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
128,2019-09-24,02:56:34,2,9,"Leake, Mike",502190,Right,"Arizona Diamondbacks","Bader, Harrison",664056,Right,"St. Louis Cardinals",,5,Top,1,2,2,Undefined,Cutter,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,statcast,89.0003,-0.481575,-2.90426,2401.71,124.741,NULL,5.09862,2.50781,5.3487,-33.5115,2.20867,-3.22785,1.85376,-0.487266,82.1682,-6.66616,-3.50215,0.430158,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.951806,1.29122,-2.24418,50,5.03152,6.67795,-129.358,-2.28606,1.62347,25.308,-29.9717,109,138,ChaseField,MLB,NL,20190924-ChaseField-1,02f5ac27-6235-46ac-be93-ae556f697377,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
531,2019-09-24,07:52:35,1,4,"Hirano, Yoshihisa",673633,Right,"Arizona Diamondbacks","Ozuna, Marcell",542303,Right,"St. Louis Cardinals",,18,Top,0,2,1,Undefined,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,statcast,91.1483,-1.65593,-2.10679,2219.35,204.478,NULL,6.18315,2.14803,6.27524,-15.2594,17.6803,8.06157,3.38385,0.87718,83.5456,-4.53584,-0.581947,0.413077,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-4.97297,10.1079,-1.99658,50,6.05342,4.63031,-132.662,-4.31089,-8.88894,27.5846,-14.1067,109,138,ChaseField,MLB,NL,20190924-ChaseField-1,04cf2d19-1035-4292-9d9a-03edb43ce217,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
90,2019-09-24,02:32:33,2,3,"Leake, Mike",502190,Right,"Arizona Diamondbacks","Molina, Yadier",425877,Right,"St. Louis Cardinals",,4,Top,1,1,1,Undefined,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,statcast,89.3462,-0.510977,-4.00177,2096.84,225.317,NULL,4.85212,2.58605,5.5703,-25.8919,9.47351,9.60885,2.21604,-0.356874,81.7791,-5.3335,-2.21075,0.428017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-6.20991,5.18741,-2.24744,50,4.79117,8.74327,-129.71,-2.05142,-10.6021,26.5919,-23.3177,109,138,ChaseField,MLB,NL,20190924-ChaseField-1,062dcd02-522f-4886-ba39-2827d6671561,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
